date;Indeks Penjualan Riil (IPR)
01/01/2019;218,13
01/02/2019;218,2
01/03/2019;230,16
01/04/2019;229,35
01/05/2019;249,79
01/06/2019;233,58
01/07/2019;221,23
01/08/2019;216,56
01/09/2019;212,36
01/10/2019;215,71
01/11/2019;216,58
01/12/2019;235,1
01/01/2020;217,54
01/02/2020;216,36
01/03/2020;219,9
01/04/2020;190,66
01/05/2020;198,3
01/06/2020;193,57
01/07/2020;194,06
01/08/2020;196,65
01/09/2020;193,83
01/10/2020;183,47
01/11/2020;181,34
01/12/2020;190,06
01/01/2021;181,97
01/02/2021;177,13
01/03/2021;187,87
01/04/2021;220,41
01/05/2021;227,5
01/06/2021;198,5
01/07/2021;188,5
01/08/2021;192,5
01/09/2021;189,5
01/10/2021;195,5
01/11/2021;201
01/12/2021;216,3
01/01/2022;209,6
01/02/2022;200
01/03/2022;205,3
01/04/2022;239,2
01/05/2022;234,1
01/06/2022;206,6
01/07/2022;200,2
01/08/2022;201,8
01/09/2022;198,1
01/10/2022;202,7
01/12/2022;217,8
01/01/2023;208,2
01/02/2023;201,2
01/03/2023;215,3
01/04/2023;241,6
